anomaly,competition,category name,round,heat,couple,criteria,stdev,threshold,ratio,raw data
,171,Rock'n'Roll-Beginners,First round,1,6,DF,1.97,2.3,0.8565217391304348,"[11.25, 7.5, 11.25, 10.0, 7.5, 6.25]"
yes,171,Rock'n'Roll-Beginners,First round,1,6,CO,2.13,2.0,1.065,"[9.0, 6.0, 8.0, 9.0, 4.0, 4.0]"
,171,Rock'n'Roll-Beginners,First round,1,6,FM,1.65,2.0,0.825,"[6.5, 5.0, 6.5, 5.0, 2.5, 2.5]"
yes,171,Rock'n'Roll-Beginners,First round,1,6,FW,16.5,14.4,1.1458333333333333,"[-35.0, -50.0, -35.0, -50.0, -75.0, -75.0]"
,171,Rock'n'Roll-Beginners,First round,1,6,sm,0.75,2.3,0.32608695652173914,"[-2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,1,6,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,1,277,DF,1.33,2.3,0.5782608695652175,"[8.75, 7.5, 8.75, 11.25, 10.0, 7.5]"
,171,Rock'n'Roll-Beginners,First round,1,277,CO,0.94,2.0,0.47,"[7.0, 6.0, 8.0, 9.0, 7.0, 7.0]"
,171,Rock'n'Roll-Beginners,First round,1,277,FM,1.34,2.0,0.67,"[5.0, 2.5, 6.5, 6.5, 5.0, 5.0]"
,171,Rock'n'Roll-Beginners,First round,1,277,FW,7.07,14.4,0.49097222222222225,"[-50.0, -50.0, -35.0, -35.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,First round,1,277,sm,0.94,2.3,0.40869565217391307,"[-2.0, -2.0, -4.0, -4.0, -2.0, -2.0]"
,171,Rock'n'Roll-Beginners,First round,1,277,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,2,279,DF,2.01,2.3,0.8739130434782608,"[12.5, 7.5, 11.25, 10.0, 7.5, 7.5]"
,171,Rock'n'Roll-Beginners,First round,2,279,CO,1.7,2.0,0.85,"[10.0, 7.0, 7.0, 9.0, 6.0, 5.0]"
,171,Rock'n'Roll-Beginners,First round,2,279,FM,0.75,2.0,0.375,"[6.5, 5.0, 6.5, 5.0, 6.5, 5.0]"
,171,Rock'n'Roll-Beginners,First round,2,279,FW,9.75,14.4,0.6770833333333334,"[-35.0, -50.0, -25.0, -50.0, -35.0, -50.0]"
,171,Rock'n'Roll-Beginners,First round,2,279,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,2,279,bm,5.0,8.0,0.625,"[0.0, -10.0, -10.0, 0.0, 0.0, -10.0]"
,171,Rock'n'Roll-Beginners,First round,2,114,DF,1.25,2.3,0.5434782608695653,"[11.25, 10.0, 10.0, 11.25, 13.75, 11.25]"
,171,Rock'n'Roll-Beginners,First round,2,114,CO,1.21,2.0,0.605,"[10.0, 7.0, 7.0, 9.0, 7.0, 9.0]"
,171,Rock'n'Roll-Beginners,First round,2,114,FM,0.75,2.0,0.375,"[6.5, 6.5, 6.5, 5.0, 5.0, 5.0]"
,171,Rock'n'Roll-Beginners,First round,2,114,FW,0.0,14.4,0.0,"[-35.0, -35.0, -35.0, -35.0, -35.0, -35.0]"
,171,Rock'n'Roll-Beginners,First round,2,114,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,2,114,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,3,350,DF,1.56,2.3,0.6782608695652175,"[11.25, 7.5, 11.25, 10.0, 7.5, 10.0]"
,171,Rock'n'Roll-Beginners,First round,3,350,CO,1.25,2.0,0.625,"[9.0, 6.0, 7.0, 9.0, 6.0, 7.0]"
,171,Rock'n'Roll-Beginners,First round,3,350,FM,1.34,2.0,0.67,"[6.5, 5.0, 6.5, 5.0, 5.0, 2.5]"
,171,Rock'n'Roll-Beginners,First round,3,350,FW,8.98,14.4,0.6236111111111111,"[-35.0, -35.0, -25.0, -50.0, -35.0, -50.0]"
,171,Rock'n'Roll-Beginners,First round,3,350,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,3,350,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,3,276,DF,2.01,2.3,0.8739130434782608,"[10.0, 5.0, 6.25, 10.0, 10.0, 7.5]"
,171,Rock'n'Roll-Beginners,First round,3,276,CO,1.11,2.0,0.555,"[8.0, 6.0, 6.0, 9.0, 8.0, 7.0]"
,171,Rock'n'Roll-Beginners,First round,3,276,FM,1.58,2.0,0.79,"[5.0, 2.5, 6.5, 5.0, 2.5, 2.5]"
,171,Rock'n'Roll-Beginners,First round,3,276,FW,7.5,14.4,0.5208333333333334,"[-35.0, -50.0, -35.0, -50.0, -50.0, -35.0]"
,171,Rock'n'Roll-Beginners,First round,3,276,sm,0.75,2.3,0.32608695652173914,"[-2.0, -2.0, -2.0, -2.0, -2.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,3,276,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,4,293,DF,1.91,2.3,0.8304347826086956,"[13.75, 10.0, 8.75, 11.25, 13.75, 10.0]"
,171,Rock'n'Roll-Beginners,First round,4,293,CO,1.34,2.0,0.67,"[10.0, 6.0, 7.0, 9.0, 9.0, 8.0]"
,171,Rock'n'Roll-Beginners,First round,4,293,FM,0.71,2.0,0.355,"[6.5, 5.0, 5.0, 5.0, 5.0, 6.5]"
,171,Rock'n'Roll-Beginners,First round,4,293,FW,3.73,14.4,0.25902777777777775,"[-25.0, -35.0, -35.0, -35.0, -35.0, -35.0]"
,171,Rock'n'Roll-Beginners,First round,4,293,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,4,293,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,4,218,DF,1.68,2.3,0.7304347826086957,"[10.0, 6.25, 10.0, 10.0, 8.75, 6.25]"
,171,Rock'n'Roll-Beginners,First round,4,218,CO,1.34,2.0,0.67,"[8.0, 6.0, 7.0, 9.0, 6.0, 5.0]"
,171,Rock'n'Roll-Beginners,First round,4,218,FM,1.18,2.0,0.59,"[5.0, 5.0, 5.0, 5.0, 2.5, 2.5]"
,171,Rock'n'Roll-Beginners,First round,4,218,FW,7.07,14.4,0.49097222222222225,"[-35.0, -50.0, -35.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,First round,4,218,sm,1.8,2.3,0.782608695652174,"[-4.0, 0.0, 0.0, -4.0, -2.0, -4.0]"
,171,Rock'n'Roll-Beginners,First round,4,218,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,5,290,DF,1.52,2.3,0.6608695652173914,"[11.25, 7.5, 11.25, 11.25, 8.75, 8.75]"
,171,Rock'n'Roll-Beginners,First round,5,290,CO,1.77,2.0,0.885,"[8.0, 6.0, 11.0, 9.0, 7.0, 6.0]"
,171,Rock'n'Roll-Beginners,First round,5,290,FM,0.56,2.0,0.28,"[6.5, 6.5, 6.5, 6.5, 5.0, 6.5]"
,171,Rock'n'Roll-Beginners,First round,5,290,FW,7.5,14.4,0.5208333333333334,"[-35.0, -35.0, -35.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,First round,5,290,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, 0.0, -2.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,5,290,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,5,289,DF,1.44,2.3,0.6260869565217392,"[11.25, 8.75, 12.5, 12.5, 12.5, 10.0]"
,171,Rock'n'Roll-Beginners,First round,5,289,CO,0.82,2.0,0.41,"[9.0, 8.0, 8.0, 9.0, 7.0, 7.0]"
,171,Rock'n'Roll-Beginners,First round,5,289,FM,0.73,2.0,0.365,"[6.5, 6.5, 7.5, 6.5, 5.0, 6.5]"
,171,Rock'n'Roll-Beginners,First round,5,289,FW,7.31,14.4,0.5076388888888889,"[-25.0, -35.0, -35.0, -50.0, -35.0, -35.0]"
,171,Rock'n'Roll-Beginners,First round,5,289,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,First round,5,289,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,1,6,DF,2.09,2.3,0.908695652173913,"[11.25, 7.5, 11.25, 8.75, 6.25, 6.25]"
,171,Rock'n'Roll-Beginners,Final,1,6,CO,1.34,2.0,0.67,"[8.0, 5.0, 6.0, 7.0, 7.0, 4.0]"
,171,Rock'n'Roll-Beginners,Final,1,6,FM,1.65,2.0,0.825,"[6.5, 2.5, 6.5, 5.0, 5.0, 2.5]"
,171,Rock'n'Roll-Beginners,Final,1,6,FW,14.34,14.4,0.9958333333333333,"[-35.0, -50.0, -35.0, -35.0, -50.0, -75.0]"
,171,Rock'n'Roll-Beginners,Final,1,6,sm,1.0,2.3,0.4347826086956522,"[0.0, -2.0, -2.0, 0.0, -2.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,1,6,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,2,350,DF,1.44,2.3,0.6260869565217392,"[11.25, 7.5, 10.0, 7.5, 7.5, 8.75]"
,171,Rock'n'Roll-Beginners,Final,2,350,CO,1.26,2.0,0.63,"[9.0, 6.0, 7.0, 8.0, 9.0, 6.0]"
,171,Rock'n'Roll-Beginners,Final,2,350,FM,1.65,2.0,0.825,"[6.5, 2.5, 6.5, 5.0, 2.5, 5.0]"
,171,Rock'n'Roll-Beginners,Final,2,350,FW,7.07,14.4,0.49097222222222225,"[-35.0, -50.0, -35.0, -50.0, -50.0, -50.0]"
,171,Rock'n'Roll-Beginners,Final,2,350,sm,0.0,2.3,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,2,350,bm,0.0,8.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
,171,Rock'n'Roll-Beginners,Final,3,293,DF,1.33,2.3,0.5782608695652175,"[12.5, 10.0, 8.75, 11.25, 10.0, 8.75]"
,171,Rock'n'Roll-Beginners,Final,3,293,CO,1.15,2.0,0.575,"[10.0, 7.0, 7.0, 9.0, 8.0, 7.0]"
yes,171,Rock'n'Roll-Beginners,Final,3,293,FM,2.05,2.0,1.025,"[6.5, 2.5, 2.5, 7.5, 5.0, 2.5]"
,171,Rock'n'Roll-Beginners,Final,3,293,FW,5.0,14.4,0.3472222222222222,"[-25.0, -35.0, -35.0, -25.0, -35.0, -25.0]"
,171,Rock'n'Roll-Beginners,Final,3,293,sm,0.75,2.3,0.32608695652173914,"[0.0, 0.0, -2.0, 0.0, 0.0, 0.0]"
