Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,21,516,4%
Acrobatic part,5,78,6%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),8,86,9%
Footwork man (FM),5,86,6%
Acrobatic figure (Acro 1 to 6),5,78,6%
Small mistakes (SM),3,86,3%
Choregraphy (CO),2,86,2%
Dance Figure (DF),2,86,2%
Big mistakes (BM),1,86,1%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Formations,13,210,6%
Juniors,8,186,4%
Adults,5,198,3%

Top 5 anomalies
Rock'n'Roll-Formation Juniors,sm,Final,Heat 1 Stn. 313,[-6.0 -16.0 -6.0 -8.0 -4.0]
Rock'n'Roll-Small Formation Juniors,FW,First round,Heat 3 Stn. 294,[-35.0 -50.0 -50.0 -50.0 -100.0]
Rock'n'Roll-Formation Juniors,FW,Final,Heat 1 Stn. 313,[-50.0 -35.0 -50.0 -50.0 -100.0]
Rock'n'Roll-Small Formation Juniors,bm,First round,Heat 8 Stn. 115,[0.0 -30.0 0.0 0.0 0.0]
Rock'n'Roll-Formation Juniors,sm,Final,Heat 4 Stn. 303,[-8.0 -10.0 -2.0 -6.0 -2.0]

