Summary

Number of anomalies per part,nb of anomalies, nb of analysis made,percentage of anomalies
Dancing part,48,1056,5%
Acrobatic part,14,234,6%

Number of anomalies per criteria,nb of anomalies, nb of analysis made,percentage of anomalies
Footwork woman (FW),12,176,7%
Choregraphy (CO),10,176,6%
Acrobatic figure (Acro 1 to 6),14,234,6%
Dance Figure (DF),8,176,5%
Footwork man (FM),8,176,5%
Small mistakes (SM),5,176,3%
Big mistakes (BM),5,176,3%

Number of anomalies per group,nb of anomalies, nb of analysis made,percentage of anomalies
Juniors,24,354,7%
Adults,27,570,5%
Formations,11,366,3%

