rt_id,Judge,Type,Category,Round,Heat,Stn,stanica,FW,FM,DF,CO,sm,bm,turnir,krit,val1,val2,val3,Acro 1,Acro 2,Acro 3,Acro 4,Acro 5,Acro 6,Acro 7,Acro 8
2003,A,,Rock'n'Roll-Beginners,First round,1,277,1,-35,6.5,7.5,9,0,0,167,DF,1.5,1.5,0,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,1,290,1,-25,7.5,13.75,12,0,0,167,CO,2,2,2,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,1,290,1,-25,7.5,13.75,12,0,0,167,DF,1.5,2,2,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,1,277,1,-35,6.5,7.5,9,0,0,167,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,2,293,1,-25,5,10,8,0,0,167,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,2,114,1,-25,7.5,15,10,0,0,167,CO,1.5,1.5,2,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,2,114,1,-25,7.5,15,10,0,0,167,DF,2,2,2,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,2,293,1,-25,5,10,8,0,0,167,CO,1,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,3,289,1,-25,7.5,10,11,0,0,167,DF,1.5,1,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,3,289,1,-25,7.5,10,11,0,0,167,CO,2,2,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,3,279,1,-35,5,11.25,9,0,0,167,CO,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,3,279,1,-35,5,11.25,9,0,0,167,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,4,350,1,-35,6.5,11.25,10,0,0,167,CO,2,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,A,,Rock'n'Roll-Beginners,First round,4,350,1,-35,6.5,11.25,10,0,0,167,DF,1.5,1.5,1.5,0,0,0,0,0,0,-1,-1
2003,B,,Rock'n'Roll-Beginners,First round,1,290,2,-35,5,8.75,7,0,0,167,DF,1,1,1.5,0,0,0,0,0,0,-1,-1
2003,B,,Rock'n'Roll-Beginners,First round,1,290,2,-35,5,8.75,7,0,0,167,CO,1.5,1,1,0,0,0,0,0,0,-1,-1
